end_station_id,count
JC115,5230
HB106,4257
HB101,3081
JC009,2634
JC066,2325
HB609,2314
HB202,2289
JC116,2283
HB502,2233
HB501,2177
JC109,2099
JC008,2080
JC105,2053
HB603,1975
JC014,1926
JC013,1910
JC006,1908
HB505,1802
JC052,1770
HB611,1750
HB601,1748
HB612,1739
HB201,1734
HB305,1710
HB303,1673
JC082,1647
HB103,1646
HB402,1646
HB401,1623
JC032,1614
HB602,1611
JC098,1551
HB105,1546
JC104,1509
HB408,1486
JC023,1459
HB409,1444
HB301,1436
HB304,1420
JC110,1360
JC003,1346
HB203,1326
HB608,1273
JC102,1271
HB407,1233
JC035,1183
JC055,1102
JC072,1081
JC074,1049
JC081,1048
HB610,1033
JC103,969
HB302,969
JC002,956
HB508,938
JC076,937
JC020,921
JC019,866
JC075,841
HB404,834
JC057,828
JC099,802
JC027,783
JC034,763
JC097,760
JC038,755
JC053,746
JC024,681
JC118,672
JC078,670
JC022,656
JC095,573
JC093,538
JC084,510
JC117,493
,487
JC059,483
JC077,421
JC065,398
JC094,374
JC018,355
JC080,322
JC051,266
JC124,188
JC120,185
JC063,180
JC108,170
JC123,168
JC122,119
JC131,100
JC121,89
JC119,82
5297.02,60
JC107,50
JC125,47
JC127,35
5470.12,20
6492.08,18
5216.06,17
6459.07,16
5368.03,14
6233.04,12
5450.04,12
6578.01,12
5329.03,10
5359.13,10
5470.10,9
6432.15,8
6474.11,8
6551.11,7
6551.02,7
6765.01,7
5679.08,7
5500.02,5
6398.06,5
5359.10,4
6535.04,4
4962.08,4
8859.03,4
4962.09,3
5947.06,3
6432.09,3
6004.06,3
6432.11,3
6322.01,3
6190.08,3
5561.06,3
5303.08,3
5653.12,3
5288.09,3
5755.14,3
4993.15,3
5532.01,2
6233.05,2
5359.11,2
6611.02,2
6450.05,2
5696.03,2
5184.08,2
5033.01,2
4993.13,2
6089.11,2
3865.05,2
5065.12,2
6708.04,2
5400.05,2
6022.04,2
5772.05,2
5847.01,2
5450.01,2
5539.08,2
5247.10,2
6593.15,2
5880.02,2
4710.06,2
6948.10,1
5492.05,1
5838.09,1
4889.06,1
6569.09,1
6876.04,1
5137.10,1
6602.05,1
6248.08,1
5553.03,1
5105.01,1
3940.04,1
6650.07,1
5059.02,1
5520.09,1
6115.06,1
8879.02,1
4968.03,1
4903.08,1
5175.08,1
5311.08,1
7023.04,1
5065.10,1
5539.06,1
5137.11,1
6464.09,1
5545.01,1
6779.07,1
7235.13,1
6955.05,1
6173.08,1
5216.07,1
5721.14,1
5938.01,1
5391.06,1
6072.06,1
4953.04,1
5288.12,1
7388.10,1
6960.12,1
6215.07,1
5938.11,1
5114.06,1
5730.08,1
6659.10,1
6925.09,1
6039.06,1
6072.11,1
5788.13,1
5065.14,1
5509.02,1
5905.14,1
5593.02,1
6432.08,1
5602.06,1
6157.04,1
5593.01,1
6626.11,1
5763.03,1
7648.16,1
5687.04,1
6098.02,1
5578.02,1
6441.06,1
7154.10,1
5569.06,1
6611.07,1
5644.05,1
5752.07,1
6526.05,1
6789.08,1
5024.10,1
4596.09,1
6224.05,1
6364.10,1
7113.08,1
5610.09,1
6441.02,1
6809.07,1
6560.15,1
5712.12,1
7149.05,1
5679.05,1
